protein1 protein2 neighborhood fusion cooccurence coexpression experimental database textmining combined_score
4932.Q0010 4932.YKL203C 0 0 0 0 0 0 193 193
4932.Q0010 4932.YDR012W 0 0 0 0 0 0 392 392
4932.Q0010 4932.YLL053C 0 0 0 0 0 0 693 693
4932.Q0010 4932.Q0017 0 0 0 0 0 0 944 944
4932.Q0010 4932.YNL178W 0 0 0 0 0 0 226 226
4932.Q0010 4932.YGR253C 0 0 0 0 0 0 396 396
4932.Q0010 4932.YHR176W 0 0 0 0 0 0 194 194
4932.Q0010 4932.YBL091C 0 0 0 0 0 0 531 531
4932.Q0010 4932.YOR151C 0 0 0 0 0 0 216 216
4932.Q0010 4932.Q0182 0 0 0 0 0 0 942 942
4932.Q0010 4932.YMR235C 0 0 0 0 0 0 258 258
4932.Q0010 4932.YGL043W 0 0 0 0 0 0 195 195
4932.Q0010 4932.Q0160 0 0 0 124 0 0 163 235
4932.Q0010 4932.Q0143 0 0 0 0 0 0 944 944
4932.Q0010 4932.YBR265W 0 0 0 0 0 0 515 515
4932.Q0010 4932.Q0130 0 0 0 0 0 0 260 260
4932.Q0010 4932.YFL025C 0 0 0 0 0 0 354 354
4932.Q0010 4932.Q0045 0 0 0 183 0 0 0 183
4932.Q0010 4932.Q0297 0 0 0 0 0 0 878 878
4932.Q0010 4932.YKL192C 0 0 0 0 0 0 193 193
4932.Q0010 4932.YNR011C 0 0 0 0 0 0 336 336
4932.Q0010 4932.YOL097C 0 0 0 0 0 0 539 539
4932.Q0010 4932.YBR031W 0 0 0 0 0 0 357 357
4932.Q0010 4932.Q0032 0 0 0 0 0 0 944 944
4932.Q0010 4932.Q0092 0 0 0 0 0 0 873 873
4932.Q0010 4932.YLL058W 0 0 0 0 0 0 228 228
4932.Q0010 4932.YDL114W 0 0 0 0 0 0 380 380
4932.Q0010 4932.YMR099C 0 0 0 0 0 0 315 315
4932.Q0010 4932.Q0085 0 0 0 170 0 0 350 437
4932.Q0010 4932.YLL027W 0 0 0 0 0 0 375 375
4932.Q0010 4932.YPR067W 0 0 0 0 0 0 396 396
4932.Q0010 4932.Q0142 0 0 0 0 0 0 769 769
4932.Q0010 4932.YJR122W 0 0 0 0 0 0 394 394
4932.Q0010 4932.YGL062W 0 0 0 0 0 0 319 319
4932.Q0010 4932.YDL189W 0 0 0 0 0 0 534 534
4932.Q0010 4932.Q0105 0 0 0 239 0 0 73 264
4932.Q0010 4932.YDR268W 0 0 0 0 0 0 513 513
4932.Q0010 4932.YOR207C 0 0 0 0 0 0 161 161
4932.Q0010 4932.YBR159W 0 0 0 0 0 0 515 515
4932.Q0010 4932.YDR242W 0 0 0 0 0 0 226 226
4932.Q0010 4932.YPL135W 0 0 0 0 0 0 276 276
4932.Q0017 4932.YHR179W 0 0 0 0 0 0 394 394
4932.Q0017 4932.YLL053C 0 0 0 0 0 0 309 309
4932.Q0017 4932.YBR208C 0 0 0 0 0 0 379 379
4932.Q0017 4932.YHR176W 0 0 0 0 0 0 227 227
4932.Q0017 4932.YPR167C 0 0 0 0 0 0 309 309
4932.Q0017 4932.YIR022W 0 0 0 0 0 0 392 392
4932.Q0017 4932.Q0182 0 0 0 0 0 0 944 944
4932.Q0017 4932.Q0143 0 0 0 0 0 0 941 941
4932.Q0017 4932.Q0297 0 0 0 0 0 0 944 944
4932.Q0017 4932.YKL192C 0 0 0 0 0 0 538 538
4932.Q0017 4932.Q0032 0 0 0 0 0 0 944 944
4932.Q0017 4932.Q0092 0 0 0 0 0 0 740 740
4932.Q0017 4932.YMR116C 0 0 0 0 0 0 297 297
4932.Q0017 4932.YDL114W 0 0 0 0 0 0 570 570
4932.Q0017 4932.Q0142 0 0 0 0 0 0 942 942
4932.Q0017 4932.YBL098W 0 0 0 0 0 0 394 394
4932.Q0017 4932.YPL171C 0 0 0 0 0 0 357 357
4932.Q0017 4932.Q0010 0 0 0 0 0 0 944 944
4932.Q0017 4932.YBR159W 0 0 0 0 0 0 359 359
4932.Q0017 4932.YDR242W 0 0 0 0 0 0 258 258
4932.Q0032 4932.YHR179W 0 0 0 0 0 0 396 396
4932.Q0032 4932.YLL053C 0 0 0 0 0 0 311 311
4932.Q0032 4932.Q0017 0 0 0 0 0 0 944 944
4932.Q0032 4932.YNL064C 0 0 0 0 0 0 196 196
4932.Q0032 4932.YNR064C 0 0 0 0 0 0 512 512
4932.Q0032 4932.YOR074C 0 0 0 0 0 0 338 338
4932.Q0032 4932.Q0182 0 0 0 0 0 0 944 944
4932.Q0032 4932.YHR144C 0 0 0 0 0 0 680 680
4932.Q0032 4932.Q0143 0 0 0 0 0 0 942 942
4932.Q0032 4932.YLL052C 0 0 0 0 0 0 163 163
4932.Q0032 4932.Q0297 0 0 0 0 0 0 943 943
4932.Q0032 4932.YKL192C 0 0 0 0 0 0 228 228
4932.Q0032 4932.YDR539W 0 0 0 0 0 0 315 315
4932.Q0032 4932.YGL151W 0 0 0 0 0 0 394 394
4932.Q0032 4932.Q0092 0 0 0 0 0 0 739 739
4932.Q0032 4932.YDL114W 0 0 0 0 0 0 196 196
4932.Q0032 4932.YJL194W 0 0 0 0 0 0 196 196
4932.Q0032 4932.Q0142 0 0 0 0 0 0 941 941
4932.Q0032 4932.YHR199C-A 0 0 0 0 0 0 228 228
4932.Q0032 4932.YPL171C 0 0 0 0 0 0 371 371
4932.Q0032 4932.Q0010 0 0 0 0 0 0 944 944
